YYYY,MM,CH4(ppb)
1996,1,1693.55
1996,2,1686.9
1996,3,1684.82
1996,4,1690.08
1996,5,1698.41
1996,6,1703.74
1996,7,1709.09
1996,8,1714.68
1996,9,1716.65
1996,10,1715
1996,11,1710.01
1996,12,1702.36
1997,1,1694.7
1997,2,1691.44
1997,3,1695.1
1997,4,1700.09
1997,5,1705.53
1997,6,1712.42
1997,7,1717.76
1997,8,1722.37
1997,9,1723.27
1997,10,1720.46
1997,11,1715.94
1997,12,1710.84
1998,1,1704.44
1998,2,1698.82
1998,3,1697.33
1998,4,1700.79
1998,5,1709.59
1998,6,1718.39
1998,7,1723.91
1998,8,1728.97
1998,9,1732.63
1998,10,1732.51
1998,11,1727.92
1998,12,1720.6
1999,1,1714.02
1999,2,1709.73
1999,3,1709.23
1999,4,1714.34
1999,5,1722.34
1999,6,1729.91
1999,7,1735.82
1999,8,1739.01
1999,9,1740.85
1999,10,1741.28
1999,11,1735.71
1999,12,1726.36
2000,1,1717.85
2000,2,1711.91
2000,3,1711.72
2000,4,1717.93
2000,5,1724.94
2000,6,1732.03
2000,7,1737.93
2000,8,1739.84
2000,9,1740.55
2000,10,1740.27
2000,11,1735.52
2000,12,1726.7
2001,1,1716.94
2001,2,1710.53
2001,3,1710.55
2001,4,1715.38
2001,5,1723.14
2001,6,1731.23
2001,7,1737.15
2001,8,1740.23
2001,9,1741.38
2001,10,1738.89
2001,11,1732
2001,12,1723.88
2002,1,1715.42
2002,2,1711.08
2002,3,1712.19
2002,4,1717.22
2002,5,1724.78
2002,6,1732.56
2002,7,1738.56
2002,8,1741.74
2002,9,1742.74
2002,10,1741.72
2002,11,1737.15
2002,12,1728.52
2003,1,1719.01
2003,2,1712.86
2003,3,1712.33
2003,4,1718.39
2003,5,1726.66
2003,6,1732.43
2003,7,1737.06
2003,8,1741.8
2003,9,1744.49
2003,10,1742.3
2003,11,1735.94
2003,12,1729.27
2004,1,1721.02
2004,2,1713.27
2004,3,1710.92
2004,4,1716.39
2004,5,1725.09
2004,6,1731.68
2004,7,1738.3
2004,8,1743.02
2004,9,1743.17
2004,10,1741.03
2004,11,1734.75
2004,12,1726.06
2005,1,1717.43
2005,2,1711.45
2005,3,1711.57
2005,4,1717.15
2005,5,1725.34
2005,6,1730.97
2005,7,1735.09
2005,8,1740.32
2005,9,1741.85
2005,10,1740.25
2005,11,1735.95
2005,12,1728.02
2006,1,1718.54
2006,2,1711.97
2006,3,1711.94
2006,4,1717.23
2006,5,1723.26
2006,6,1729.51
2006,7,1734.82
2006,8,1737.91
2006,9,1740.26
2006,10,1740.05
2006,11,1735.74
2006,12,1727.78
2007,1,1718.14
2007,2,1712.66
2007,3,1713.92
2007,4,1720.12
2007,5,1728.02
2007,6,1736.18
2007,7,1742.43
2007,8,1745.61
2007,9,1748.47
2007,10,1748.77
2007,11,1744.06
2007,12,1736.69
2008,1,1729.38
2008,2,1724.53
2008,3,1725.93
2008,4,1732.82
2008,5,1738.1
2008,6,1742.4
2008,7,1750.42
2008,8,1756.01
2008,9,1755.9
2008,10,1754.6
2008,11,1749.24
2008,12,1738.83
2009,1,1730.56
2009,2,1726.33
2009,3,1726.72
2009,4,1732.26
2009,5,1738.95
2009,6,1745.97
2009,7,1752.94
2009,8,1758.3
2009,9,1760.31
2009,10,1759.16
2009,11,1753.72
2009,12,1743.42
2010,1,1735.49
2010,2,1732.13
2010,3,1732.33
2010,4,1736.68
2010,5,1742.37
2010,6,1751.73
2010,7,1762.16
2010,8,1765.98
2010,9,1766.08
2010,10,1765.5
2010,11,1761.83
2010,12,1754.41
2011,1,1745.24
2011,2,1739.86
2011,3,1742.51
2011,4,1749.96
2011,5,1753.76
2011,6,1758.16
2011,7,1765.41
2011,8,1770.45
2011,9,1773.03
2011,10,1772.52
2011,11,1766.99
2011,12,1757.85
2012,1,1749.41
2012,2,1744.08
2012,3,1743.76
