YYYY,MM,CO2(ppm)
1996,1,359.537
1996,2,359.193
1996,3,359.187
1996,4,359.234
1996,5,359.422
1996,6,359.914
1996,7,360.339
1996,8,360.675
1996,9,360.815
1996,10,360.685
1996,11,360.534
1996,12,360.407
1997,1,360.425
1997,2,360.546
1997,3,360.591
1997,4,360.653
1997,5,360.818
1997,6,361.026
1997,7,361.423
1997,8,361.885
1997,9,362.148
1997,10,362.283
1997,11,362.257
1997,12,362.204
1998,1,362.183
1998,2,362.32
1998,3,362.617
1998,4,362.894
1998,5,363.259
1998,6,363.684
1998,7,364.198
1998,8,364.816
1998,9,365.188
1998,10,365.204
1998,11,365.074
1998,12,364.991
1999,1,365.126
1999,2,365.178
1999,3,364.993
1999,4,365.05
1999,5,365.286
1999,6,365.438
1999,7,365.726
1999,8,366.161
1999,9,366.521
1999,10,366.671
1999,11,366.609
1999,12,366.619
2000,1,366.665
2000,2,366.468
2000,3,366.237
2000,4,366.17
2000,5,366.389
2000,6,366.839
2000,7,367.242
2000,8,367.486
2000,9,367.706
2000,10,367.827
2000,11,367.756
2000,12,367.663
2001,1,367.606
2001,2,367.547
2001,3,367.537
2001,4,367.701
2001,5,367.931
2001,6,368.176
2001,7,368.587
2001,8,369.134
2001,9,369.631
2001,10,369.76
2001,11,369.558
2001,12,369.412
2002,1,369.482
2002,2,369.545
2002,3,369.601
2002,4,369.763
2002,5,370.012
2002,6,370.476
2002,7,371.049
2002,8,371.539
2002,9,371.878
2002,10,372.01
2002,11,371.896
2002,12,371.705
2003,1,371.674
2003,2,371.753
2003,3,371.953
2003,4,372.235
2003,5,372.521
2003,6,372.865
2003,7,373.325
2003,8,373.86
2003,9,374.156
2003,10,374.079
2003,11,373.862
2003,12,373.68
2004,1,373.648
2004,2,373.777
2004,3,373.869
2004,4,374.021
2004,5,374.416
2004,6,374.896
2004,7,375.298
2004,8,375.639
2004,9,375.795
2004,10,375.817
2004,11,375.811
2004,12,375.631
2005,1,375.477
2005,2,375.522
2005,3,375.552
2005,4,375.687
2005,5,376.289
2005,6,377.049
2005,7,377.418
2005,8,377.703
2005,9,377.979
2005,10,378.053
2005,11,377.998
2005,12,377.885
2006,1,377.972
2006,2,378.105
2006,3,378.12
2006,4,378.18
2006,5,378.303
2006,6,378.537
2006,7,378.929
2006,8,379.381
2006,9,379.604
2006,10,379.534
2006,11,379.491
2006,12,379.566
2007,1,379.492
2007,2,379.46
2007,3,379.567
2007,4,379.765
2007,5,380.139
2007,6,380.527
2007,7,381.033
2007,8,381.451
2007,9,381.66
2007,10,381.786
2007,11,381.764
2007,12,381.718
2008,1,381.781
2008,2,381.86
2008,3,381.866
2008,4,381.96
2008,5,382.23
2008,6,382.729
2008,7,383.071
2008,8,383.434
2008,9,383.839
2008,10,383.797
2008,11,383.645
2008,12,383.722
2009,1,383.963
2009,2,383.927
2009,3,383.598
2009,4,383.501
2009,5,383.729
2009,6,384.018
2009,7,384.418
2009,8,384.884
2009,9,385.099
2009,10,385.212
2009,11,385.189
2009,12,385.107
2010,1,385.072
2010,2,384.816
2010,3,384.72
2010,4,385.016
2010,5,385.4
2010,6,385.904
2010,7,386.568
2010,8,387.212
2010,9,387.56
2010,10,387.556
2010,11,387.407
2010,12,387.165
2011,1,387.019
2011,2,387.091
2011,3,387.145
2011,4,387.155
2011,5,387.403
2011,6,387.833
2011,7,388.198
2011,8,388.635
2011,9,389.129
2011,10,389.261
2011,11,389.072
2011,12,388.943
2012,1,388.818
2012,2,388.79
2012,3,388.826
2012,4,388.999
2012,5,389.287
2012,6,389.712
2012,7,390.377
2012,8,391.05
2012,9,391.48
2012,10,391.518
2012,11,391.319
2012,12,391.237
2013,1,391.294
2013,2,391.536
2013,3,391.858
2013,4,392.151
2013,5,392.472
2013,6,392.806
2013,7,393.38
2013,8,393.897
2013,9,394.074
2013,10,394.103
2013,11,394.092
2013,12,393.946
2014,1,393.784
2014,2,393.826
2014,3,394.002
2014,4,394.201
2014,5,394.394
2014,6,394.795
2014,7,395.33
2014,8,395.783
2014,9,396.002
2014,10,395.988
2014,11,395.954
2014,12,395.884
2015,1,395.912
2015,2,396.069
2015,3,396.203
2015,4,396.519
2015,5,396.95
2015,6,397.261
2015,7,397.751
2015,8,398.327
2015,9,398.511
2015,10,398.537
2015,11,398.669
2015,12,398.769
2016,1,398.887
2016,2,399.073
2016,3,399.322
2016,4,399.768
2016,5,400.296
2016,6,400.792
2016,7,401.272
2016,8,401.588
2016,9,401.755
2016,10,401.788
2016,11,401.538
2016,12,401.335
2017,1,401.267
2017,2,401.227
2017,3,401.306
2017,4,401.579
2017,5,401.869
2017,6,402.172
2017,7,402.805
2017,8,403.4
2017,9,403.605
2017,10,403.734
2017,11,403.855
2017,12,403.847
2018,1,403.913
2018,2,403.986
2018,3,404.027
2018,4,404.243
2018,5,404.514
2018,6,404.807
2018,7,405.289
2018,8,405.765
2018,9,405.959
2018,10,405.978
2018,11,405.912
2018,12,405.861
2019,1,405.841
2019,2,405.769
2019,3,405.893
2019,4,406.301
2019,5,406.854
2019,6,407.432
2019,7,408.032
2019,8,408.509
2019,9,408.728
2019,10,408.882
2019,11,408.912
2019,12,408.667
2020,1,408.414
2020,2,408.503
2020,3,408.749
2020,4,408.978
2020,5,409.242
2020,6,409.66
2020,7,410.231
2020,8,410.706
2020,9,410.921
2020,10,410.992
2020,11,410.908
2020,12,410.775
2021,1,410.711
2021,2,410.728
2021,3,410.876
2021,4,410.999
2021,5,411.203
2021,6,411.617
2021,7,412.121
2021,8,412.638
2021,9,413.016
2021,10,413.152
2021,11,413.199
2021,12,413.168
2022,1,413.082
2022,2,413.158
2022,3,413.327
2022,4,413.481
2022,5,413.723
2022,6,414.069
2022,7,414.544
2022,8,415.059
2022,9,415.277
2022,10,415.3
2022,11,415.335
2022,12,415.187
2023,1,414.955
2023,2,414.999
2023,3,415.171
2023,4,415.363
2023,5,415.71
2023,6,416.103
2023,7,416.54
2023,8,417.078
2023,9,417.382
2023,10,417.562
2023,11,417.77
2023,12,417.828
2024,1,417.964
2024,2,418.238
2024,3,418.607
2024,4,419.066
2024,5,419.528
2024,6,420.059
2024,7,420.488
2024,8,420.809
2024,9,421.166
2024,10,421.388
2024,11,421.407
2024,12,421.402
2025,1,421.566
2025,2,421.778
2025,3,421.987
2025,4,422.28
2025,5,422.543
2025,6,422.82
2025,7,423.279
2025,8,423.706
2025,9,423.842
2025,10,423.751
2025,11,423.586
2025,12,423.427
