YYYY,MM,N2O(ppb)
1996,1,311.208
1996,2,310.988
1996,3,310.935
1996,4,310.835
1996,5,310.756
1996,6,310.841
1996,7,311.034
1996,8,311.316
1996,9,311.457
1996,10,311.536
1996,11,311.594
1996,12,311.797
1997,1,311.989
1997,2,311.96
1997,3,311.949
1997,4,311.767
1997,5,311.758
1997,6,311.982
1997,7,311.97
1997,8,312.205
1997,9,312.599
1997,10,312.773
1997,11,312.877
1997,12,312.916
1998,1,312.9
1998,2,312.79
1998,3,312.584
1998,4,312.503
1998,5,312.542
1998,6,312.64
1998,7,312.972
1998,8,313.279
1998,9,313.37
1998,10,313.468
1998,11,313.605
1998,12,313.763
1999,1,313.826
1999,2,313.813
1999,3,313.842
1999,4,313.736
1999,5,313.596
1999,6,313.65
1999,7,313.807
1999,8,313.997
1999,9,314.238
1999,10,314.375
1999,11,314.381
1999,12,314.563
2000,1,314.759
2000,2,314.665
2000,3,314.547
2000,4,314.472
2000,5,314.563
2000,6,314.789
2000,7,314.79
2000,8,314.78
2000,9,314.986
2000,10,315.146
2000,11,315.288
2000,12,315.394
2001,1,315.306
2001,2,315.142
2001,3,314.931
2001,4,314.774
2001,5,314.928
2001,6,315.173
2001,7,315.297
2001,8,315.45
2001,9,315.714
2001,10,315.85
2001,11,315.886
2001,12,316.012
2002,1,316.099
2002,2,316.104
2002,3,315.936
2002,4,315.796
2002,5,315.84
2002,6,316.093
2002,7,316.249
2002,8,316.225
2002,9,316.169
2002,10,316.204
2002,11,316.232
2002,12,316.174
2003,1,316.308
2003,2,316.357
2003,3,316.212
2003,4,316.251
2003,5,316.479
2003,6,316.53
2003,7,316.52
2003,8,316.514
2003,9,316.662
2003,10,316.876
2003,11,317.059
2003,12,317.41
2004,1,317.511
2004,2,317.244
2004,3,317.122
2004,4,317.06
2004,5,317.032
2004,6,317.092
2004,7,317.245
2004,8,317.686
2004,9,317.813
2004,10,317.661
2004,11,317.708
2004,12,317.727
2005,1,317.982
2005,2,318.016
2005,3,317.376
2005,4,317.097
2005,5,317.647
2005,6,318.05
2005,7,317.95
2005,8,318.085
2005,9,318.36
2005,10,318.51
2005,11,318.848
2005,12,318.793
2006,1,318.562
2006,2,318.677
2006,3,318.666
2006,4,318.49
2006,5,318.487
2006,6,318.628
2006,7,318.729
2006,8,319.023
2006,9,319.303
2006,10,319.286
2006,11,319.392
2006,12,319.511
2007,1,319.405
2007,2,319.32
2007,3,319.311
2007,4,319.161
2007,5,318.899
2007,6,318.945
2007,7,319.224
2007,8,319.559
2007,9,319.837
2007,10,319.958
2007,11,320.22
2007,12,320.215
2008,1,320.009
2008,2,320.452
2008,3,320.745
2008,4,320.542
2008,5,320.468
2008,6,320.515
2008,7,320.663
2008,8,320.841
2008,9,320.937
2008,10,321.136
2008,11,321.447
2008,12,321.413
2009,1,321.316
2009,2,321.52
2009,3,321.282
2009,4,320.822
2009,5,320.9
2009,6,321.141
2009,7,321.291
2009,8,321.51
2009,9,321.564
2009,10,321.782
2009,11,322.137
2009,12,322.14
2010,1,322.235
2010,2,322.346
2010,3,322.116
2010,4,321.795
2010,5,321.744
2010,6,322.129
2010,7,322.466
2010,8,322.485
2010,9,322.683
2010,10,322.968
2010,11,323.235
2010,12,323.503
2011,1,323.343
2011,2,323.047
2011,3,323.115
2011,4,323.211
2011,5,323.11
2011,6,323.04
2011,7,322.979
2011,8,323.162
2011,9,323.497
2011,10,323.663
2011,11,323.823
2011,12,323.946
2012,1,324.23
2012,2,324.17
2012,3,323.751
2012,4,323.793
2012,5,324.156
2012,6,324.245
2012,7,324.147
2012,8,324.406
2012,9,324.685
2012,10,324.786
2012,11,325.048
2012,12,325.08
2013,1,324.926
2013,2,324.889
2013,3,324.823
2013,4,324.808
2013,5,324.745
2013,6,324.944
2013,7,325.357
2013,8,325.391
2013,9,325.527
2013,10,325.696
2013,11,325.599
2013,12,325.448
2014,1,325.438
2014,2,325.623
2014,3,325.592
