Year,Month,Temp
1996,1,23.5
1996,2,21.6
1996,3,21.2
1996,4,15.6
1996,5,14.9
1996,6,11.2
1996,7,11
1996,8,13.5
1996,9,14.4
1996,10,17.8
1996,11,18.4
1996,12,21.1
1997,1,25.4
1997,2,24.7
1997,3,20.3
1997,4,17.9
1997,5,14.1
1997,6,11.9
1997,7,12.2
1997,8,13.5
1997,9,15.5
1997,10,19.1
1997,11,21.2
1997,12,21.8
1998,1,26.7
1998,2,23.6
1998,3,22.3
1998,4,17
1998,5,15.2
1998,6,11.7
1998,7,12.5
1998,8,14.2
1998,9,17.1
1998,10,16.7
1998,11,20.2
1998,12,24.1
1999,1,25.4
1999,2,24.1
1999,3,20.8
1999,4,16.8
1999,5,16.1
1999,6,11.7
1999,7,11.6
1999,8,14.8
1999,9,17.1
1999,10,18.8
1999,11,19.6
1999,12,23
2000,1,24.3
2000,2,27.7
2000,3,22.9
2000,4,20
2000,5,15.5
2000,6,12.8
2000,7,12.5
2000,8,13.5
2000,9,15.7
2000,10,17.8
2000,11,22.8
2000,12,22.8
2001,1,26.6
2001,2,27.6
2001,3,22.8
2001,4,18.9
2001,5,13.9
2001,6,11.9
2001,7,12.1
2001,8,13.4
2001,9,17.2
2001,10,17.8
2001,11,18.6
2001,12,19.4
2002,1,22.7
2002,2,23.1
2002,3,22.8
2002,4,20.7
2002,5,16.3
2002,6,13.5
2002,7,13.4
2002,8,14.5
2002,9,15.6
2002,10,17
2002,11,21.4
2002,12,23.7
2003,1,26.7
2003,2,26.2
2003,3,21.1
2003,4,17.5
2003,5,14.8
2003,6,13.1
2003,7,12
2003,8,14.1
2003,9,14.1
2003,10,16.6
2003,11,21.8
2003,12,24
2004,1,22.5
2004,2,23.6
2004,3,21.4
2004,4,18.1
2004,5,13.4
2004,6,12.1
2004,7,11.4
2004,8,12.4
2004,9,15.9
2004,10,18.9
2004,11,20.3
2004,12,22.8
2005,1,24.3
2005,2,23.4
2005,3,21.1
2005,4,19.5
2005,5,15.2
2005,6,11.1
2005,7,13.7
2005,8,15
2005,9,16.4
2005,10,18.7
2005,11,21.4
2005,12,22.1
2006,1,24.7
2006,2,23.7
2006,3,23
2006,4,15.1
2006,5,13.5
2006,6,12.4
2006,7,12
2006,8,15.2
2006,9,17
2006,10,18.6
2006,11,20.3
2006,12,23.3
2007,1,24.7
2007,2,26.9
2007,3,22.6
2007,4,19.6
2007,5,17.1
2007,6,10.3
2007,7,11.7
2007,8,14.5
2007,9,16.5
2007,10,17.9
2007,11,23.3
2007,12,24.2
2008,1,26.5
2008,2,23.8
2008,3,23.8
2008,4,18.6
2008,5,15.7
2008,6,12.9
2008,7,10.5
2008,8,13.4
2008,9,15.9
2008,10,19.9
2008,11,20
2008,12,21.8
